s0,v0,a,t0,tf,opt,
51.6752,11.3556,-2.66667,4,1,0,
51.6752,11.3556,-2,4,1,0,
51.3418,11.3556,-0.666667,4,1,0,
51.6752,11.3556,-0.666667,4,1,0,
51.6752,11.3556,0,4,1,0,
52.6752,12.0222,-2.66667,4,1,0,
51.6752,11.3556,1.33333,4,1,0,
51.6752,11.3556,2,4,1,0,
53.5085,12.3556,-2.66667,4,1,0,
53.5085,12.3556,-2,4,1,0,
52.6752,12.0222,0.666667,4,1,0,
52.6752,12.0222,1.33333,4,1,0,
52.6752,12.0222,2,4,1,0,
53.5085,12.3556,0.666667,4,1,0,
53.5085,12.3556,1.33333,4,1,0,
53.5085,12.3556,2,4,1,0,
22.3641,0.0222192,0.666667,5,1,0,
22.3641,0.0222192,1.33333,5,1,0,
22.8641,1.02222,-0.666667,5,1,0,
22.8641,1.02222,0.333333,5,1,0,
22.8641,1.02222,1.66667,5,1,0,
24.3641,0.688886,0,5,1,0,
24.0307,1.35555,0.666667,5,1,0,
24.6974,1.35555,0,5,1,0,
25.6974,2.02222,-2,5,1,0,
27.0307,0.0222192,0,5,1,0,
27.3641,0.688886,-0.666667,5,1,0,
27.0307,0.0222192,2,5,1,0,
27.3641,0.688886,1.33333,5,1,0,
28.0307,2.02222,-2,5,1,0,
28.0307,2.02222,-0.666667,5,1,0,
29.3641,0.688886,0,5,1,0,
28.0307,2.02222,1.33333,5,1,0,
30.0307,2.02222,-2,5,1,0,
30.0307,2.02222,-0.666667,5,1,0,
30.3641,2.68889,-2,5,1,0,
31.6974,1.35555,-0.666667,5,1,0,
31.6974,1.35555,0,5,1,0,
31.6974,1.35555,1.33333,5,1,0,
30.3641,2.68889,2,5,1,0,
32.3641,2.68889,-0.666667,5,1,0,
34.0307,2.02222,-2,5,1,0,
32.3641,2.68889,1.33333,5,1,0,
35.3641,0.688886,0,5,1,0,
35.3641,0.688886,1.33333,5,1,0,
34.0307,2.02222,2,5,1,0,
33.3641,4.68889,-0.666667,5,1,0,
36.0307,3.35555,-2.66667,5,1,0,
33.3641,4.68889,1.33333,5,1,0,
36.0307,3.35555,-0.666667,5,1,0,
38.0307,2.02222,-0.666667,5,1,0,
38.3641,2.68889,-2,5,1,0,
38.0307,2.02222,1.33333,5,1,0,
39.0307,1.35555,1.33333,5,1,0,
38.3641,2.68889,1.33333,5,1,0,
40.0307,3.35555,-2.66667,5,1,0,
39.3641,4.68889,-2.66667,5,1,0,
37.3641,4.68889,2,5,1,0,
41.0307,2.68889,0,5,1,0,
39.3641,4.68889,0,5,1,0,
43.0307,2.68889,-2,5,1,0,
43.0307,2.68889,-1.33333,5,1,0,
43.6974,4.02222,-4,5,1,0,
42.0307,3.35555,1.33333,5,1,0,
43.6974,4.02222,-2,5,1,0,
43.6974,4.02222,-0.666667,5,1,0,
44.0307,4.68889,-2,5,1,0,
43.6974,4.02222,1.33333,5,1,0,
45.3641,4.68889,-2.66667,5,1,0,
42.6974,6.02222,1.33333,5,1,0,
46.0307,4.68889,-2,5,1,0,
46.0307,4.68889,-0.666667,5,1,0,
46.0307,4.68889,0,5,1,0,
46.0307,4.68889,1.33333,5,1,0,
